id,name,description,uuid,created_at,updated_at
1,Community Level Interventions,"",11884535-3122-370d-ae86-c35b0a3980de,2020-12-05 18:08:26,2020-12-05 18:15:06
2,Primary Care Interventions,"",85731f5a-81dc-35cb-9de1-84aba79a7361,2020-12-05 18:08:26,2020-12-05 18:15:36
3,Hospital Interventions,"",8a8806b6-25e7-37b2-8c7f-61baa62fd41d,2020-12-05 18:08:26,2020-12-05 18:17:00
