id,details,created_at,updated_at,uuid,level_of_care_id,public_health_function_id,condition_id,age_cohort_id
16,<div>* Recognition of danger signs of meningitis  in adolescents  which include   neck stiffness; neck and/or back pain; fever; <br />* Urgent referral /transfer to a health facility of adolescents suspected to have meningitis<br />* Supportive therapy of adolescent suspected to have meningitis if immediate referral is not possible i.e. <br />  - Give fluids<br />  - Proper feeding <br />  - Manage fever with antipyretics </div>,2020-12-12 09:10:40,2020-12-12 09:10:40,17aa96d1-815b-4691-a3bd-31f85ae8ca8d,1,3,1,4
17,<div>Physiotherapy services for adolescents with meningitis complications who may be referred back to communities from health facilities </div>,2020-12-12 09:12:06,2020-12-12 09:12:06,d0d9d6e0-1e7d-4d58-b0f4-2971012e671e,1,4,1,4
18,<div>Psychosocial support </div>,2020-12-12 09:12:30,2020-12-12 09:12:30,4d42f00b-cd44-44ee-944b-d7db66af6fe8,1,5,1,4
19,<div>* Create awareness among adults on  meningitis and prevention measures<br />*  Information/creation of awareness on healthy living for adults<br />* Awareness on good nutrition for adults<br />* Provision of IEC materials <br />* Promote good hygiene practices including hand hygiene  for adults<br />* Community health workers education on meningitis including recognition of its features in adults and prevention measures</div>,2020-12-12 09:13:18,2020-12-12 09:13:18,894ac7c3-16be-41fd-bee5-44f074da7580,1,1,1,5
20,"<div>* Practice good hygiene practices including   ‘cough, sneezing etiquette <br />* Hand washing with soap and water <br />* Limit contact with persons with meningitis </div>",2020-12-12 09:21:11,2020-12-12 09:21:11,930c5973-6991-4641-8b8b-9cd0abcbfe2c,1,2,1,5
21,"<div>* Recognition of danger signs of meningitis  in the elderly which include, stiff neck, headache, neck and/or back pain; fever;   <br />*  <strong>Urgent referral/ transfer of adults suspected to have meningitis to a health facility </strong> </div><div>* Supportive therapy to an elderly person if immediate referral   is not possible i.e. <br />  - Give fluids<br />  - Proper feeding <br />  - Manage fever with medicine for fever such as paracetamol   </div>",2020-12-12 09:22:23,2020-12-12 09:31:16,dc573312-68ea-4bab-894e-2f69486bc19c,1,3,1,5
22,<div> Physiotherapy services for adults with meningitis complications who may be referred back to communities from health facilities </div>,2020-12-13 12:42:07,2020-12-13 12:42:07,8ff58db4-f8a0-45e3-94b1-07366a8582aa,1,4,1,5
23,<div> Psychosocial support </div>,2020-12-13 12:42:30,2020-12-13 12:42:30,60961e90-8537-4387-9383-13f0e6da4fc2,1,5,1,5
24,"<pre>* Create awareness to the elderly persons; their  families and communities   on meningitis and prevention measures
*  Information/creation of awareness on healthy living for the elderly
* Awareness on good nutrition
* Provision of IEC materials
* Promote good hygiene practices including hand hygiene  for the elderly
* Community health workers sensitization on meningitis including recognition of meningitis features among the elderly </pre><div><br /></div>",2020-12-13 12:46:29,2020-12-13 12:46:29,7bffc323-b0ea-4e37-8076-534608b172bd,1,1,1,6
25,"<pre>* Practice good hygiene practices including cough, sneezing etiquette
* Hand washing with soap and water
* Limit the elderly contact with persons with meningitis </pre><div><br /></div>",2020-12-13 12:50:00,2020-12-13 12:50:00,915246d7-cb42-4fe0-bf60-613e534b3b73,1,2,1,6
26,"<pre>* Recognition of danger signs of meningitis  in the elderly which include, stiff neck, headache, neck and/or back pain; fever;
* Urgent referral of elderly persons suspected to have meningitis to a health facility
* Supportive therapy to an elderly person if immediate referral   is not possible i.e.
  - Give fluids
  - Proper feeding
  - Manage fever with medicine for fever such as paracetamol   </pre><div><br /></div>",2020-12-13 12:51:07,2020-12-13 12:51:07,2d7f7622-8bb8-4c4d-9a65-2249fb7487ff,1,3,1,6
27,<div>Physiotherapy services for the elderly persons with meningitis complications who may be referred back to communities from health facilities</div>,2020-12-13 12:51:38,2020-12-13 12:51:38,c1f30913-0309-468c-9563-8afe8a06e409,1,4,1,6
28,<div>* Psychosocial support </div><div>* Counselling </div>,2020-12-13 12:52:14,2020-12-13 12:52:14,01af480d-6dc2-4d99-9f5c-bf09045376f3,1,5,1,6
