id,name,description,who,snomed,program_area_id,uuid,created_at,updated_at
90,"{""en"":""Maternal Sepsis"",""pt"":null}","{""en"":""Maternal Sepsis"",""pt"":null}",,,1,de374f15-72ef-4009-8c0b-891bf1d6b1ed,"2022-11-02 06:05:16","2022-11-02 06:05:16"
91,"{""en"":""Neonatal encephalopathy due to birth asphyxia and trauma"",""pt"":null}","{""en"":""Neonatal encephalopathy due to birth asphyxia and trauma"",""pt"":null}",,,1,792ea890-e04c-4bef-b1ae-2af7ee7c87ca,"2022-11-02 06:05:58","2022-11-02 06:05:58"
92,"{""en"":""Congenital anomalies"",""pt"":null}","{""en"":""Congenital anomalies"",""pt"":null}",,,1,cda2ed7b-c232-4b66-97bd-484d865b10f7,"2022-11-02 06:06:40","2022-11-02 06:06:40"
93,"{""en"":""Sickle cell disease (SCD)"",""pt"":null}","{""en"":""Sickle cell disease (SCD)"",""pt"":null}",,,1,aae9d389-21f0-4571-a670-866cfdadffe2,"2022-11-02 06:07:09","2022-11-02 06:07:09"
94,"{""en"":""Dietary iron deficiency"",""pt"":null}","{""en"":""Dietary iron deficiency"",""pt"":null}",,,1,311cd393-7612-40de-8771-c9df685076d0,"2022-11-02 06:09:25","2022-11-02 06:09:25"
95,"{""en"":""Road traffic Injuries"",""pt"":null}","{""en"":""Road traffic Injuries"",""pt"":null}",,,11,e9d64eee-fc01-4f04-8df9-1f5927475bf1,"2022-11-02 06:10:35","2022-11-02 06:10:35"
96,"{""en"":""Mental disorders"",""pt"":null}","{""en"":""Mental disorders"",""pt"":null}",,,7,9dc7f39c-d996-4f55-9ef3-6db3e8ee612e,"2022-11-02 06:12:34","2022-11-02 06:12:34"
97,"{""en"":""Cardiovascular diseases (CVDs)"",""pt"":null}","{""en"":""Cardiovascular diseases (CVDs)"",""pt"":null}",,,6,d162d159-4a45-45f0-b939-f5738854d573,"2022-11-02 06:13:27","2022-11-02 06:13:27"
98,"{""en"":""Cancer"",""pt"":null}","{""en"":""Cancer"",""pt"":null}",,,8,5ad77ab3-ad1e-45c6-ac43-aa4436f5579f,"2022-11-02 06:14:32","2022-11-02 06:14:32"
99,"{""en"":""Neonatal Jaundice"",""pt"":null}","{""pt"":null}",,,1,75830ee9-deda-4284-979d-169a556bca8f,"2022-11-21 12:44:04","2022-11-21 12:44:04"
